Page,Edits,Editors,Views
"The Idol (TV series)",299,105,14303395
"Spider-Man: Across the Spider-Verse",855,266,5901497
"Cleopatra",24,15,5770640
"ChatGPT",195,57,5723544
"Adipurush",996,169,5337008
"YouTube",27,15,4164632
"The Flash (film)",802,300,4025134
"Deaths in 2023",1743,169,3977664
"Wagner Group",169,101,3954572
"2023 Titan submersible incident",2,2,3600820
"Facebook",4,3,3522448
"Titanic",103,53,3321523
"Juneteenth",206,111,3272717
"The Little Mermaid (2023 film)",302,82,3244609
"Fast X",364,155,3178786
"Instagram",12,7,3078302
"Arnold Schwarzenegger",35,29,3068695
"Hamish Harding",406,192,3013121
"XXX (film series)",0,0,2755097
"XXX: Return of Xander Cage",2,2,2582026
"Lionel Messi",170,52,2539760
"Nikola Jokić",196,56,2459279
"Ted Kaczynski",298,115,2406145
"Transformers: Rise of the Beasts",277,84,2355020
"Robert F. Kennedy Jr.",168,72,2310559
"Sex",4,3,2178067
"Guardians of the Galaxy Vol. 3",154,61,2076113
"Yevgeny Prigozhin",154,88,2023575
"Treat Williams",418,112,2008906
"Extraction 2",206,105,1979651
"Spider-Man: Into the Spider-Verse",149,93,1967717
"2023 ICC World Test Championship final",247,52,1876874
"Wreck of the Titanic",178,121,1798661
"Shahzada Dawood",458,180,1749083
"Indiana Jones and the Dial of Destiny",490,199,1736860
"Elemental (2023 film)",375,114,1727626
"OceanGate",620,214,1727442
"List of Black Mirror episodes",86,48,1703076
"XXX",0,0,1662026
"Flipkart",12,7,1641239
"2023 Cricket World Cup",325,46,1632180
"Novak Djokovic",144,48,1631718
"Taylor Swift",107,29,1602342
"Julian Sands",305,135,1560791
"Omegle",6,5,1537642
"Cristiano Ronaldo",43,23,1535182
"Black Mirror",49,32,1502777
"Stockton Rush",410,168,1483032
"Avatar: The Way of Water",28,22,1463293
"XXXTentacion",8,8,1407591
"United States",125,36,1406476
"Wikipedia",37,21,1394836
"Zlatan Ibrahimović",133,51,1373225
"XXXX (beer)",9,8,1363886
"James Cameron",59,46,1362223
"List of American films of 2023",209,54,1356390
"Succession (TV series)",56,35,1316255
"No Hard Feelings (2023 film)",217,106,1311381
"Ansel Adams",3,3,1307290
"Ted Lasso",104,63,1304930
"Lily-Rose Depp",53,32,1293915
"India",32,18,1289381
"Secret Invasion (TV series)",260,107,1276348
"Andrew Tate",38,26,1267060
"Transformers (film series)",239,92,1265866
"Elton John",14,9,1261873
"The Super Mario Bros. Movie",150,57,1255588
"Byford Dolphin",32,19,1241272
"Elon Musk",64,19,1227813
"Ezra Miller",72,30,1216856
"Manchester City F.C.",148,50,1215718
"Google Translate",5,4,1204122
"2023 Cricket World Cup Qualifier",572,122,1188272
"Victor Wembanyama",80,40,1183903
"Twitter",39,24,1163620
"YNW Melly",13,8,1159860
"Silo (TV series)",121,44,1158147
"Russian invasion of Ukraine",156,47,1152992
"Donald Trump",235,55,1138018
"Oppenheimer (film)",63,32,1136054
"Elliot Page",25,15,1124912
"Maria Shriver",9,4,1119329
"Jennifer Lawrence",40,9,1113807
"Harrison Ford",14,12,1101667
"Wagner Group rebellion",2232,334,1098084
"J. Robert Oppenheimer",13,8,1097571
".xxx",0,0,1091803
"Kamala Sohonie",30,23,1088882
"Michael Jordan",27,16,1086155
"Inter Miami CF",127,79,1082196
"Titanic (1997 film)",27,18,1073849
"Money in the Bank (2023)",484,85,1050158
"Eid al-Adha",80,46,1028016
"Father's Day",41,34,1026852
"Alia Bhatt",12,8,1020648
"Joe Biden",57,29,1018429
"UEFA Champions League",21,18,1014789
"Never Have I Ever (TV series)",211,83,1011384
"Asteroid City",219,101,1005308
"Silvio Berlusconi",351,98,987454
"Matt Rife",?,?,983638
"2023 in film",?,?,978775
"French Open",?,?,975998
"Extraction (2020 film)",?,?,943953
"John Wick: Chapter 4",?,?,936010
"Deepsea Challenger",?,?,933811
"2021–2023 ICC World Test Championship",?,?,932503
"My Fault (film)",?,?,929788
"Lewis Capaldi",?,?,926967
"Mariana Trench",?,?,905665
"Brownie (folklore)",?,?,903628
"Aadhaar",?,?,903463
"Pep Guardiola",?,?,902555
"WhatsApp",?,?,902012
"Sinking of the Titanic",?,?,881434
"From (TV series)",?,?,878264
"Erling Haaland",?,?,876532
"Maitreyi Ramakrishnan",?,?,867474
"Google",?,?,862097
"Tina Turner",?,?,854205
"The Boogeyman (2023 film)",?,?,853719
"Maryland",?,?,849576
"Chris Hemsworth",?,?,849365
"Wyndham Clark",?,?,847085
"Karim Benzema",?,?,841243
"Al Pacino",?,?,841195
"Gmail",?,?,840783
"Diablo IV",?,?,840409
"ICC World Test Championship",?,?,838245
"The Bear (TV series)",?,?,835078
"Fast & Furious",?,?,834462
"2023 NBA draft",?,?,833205
"Reality Winner",?,?,828791
"Sylvester Stallone",?,?,824048
"İlkay Gündoğan",?,?,823418
"Hypnotic (2023 film)",?,?,822355
"Kepler's Supernova",?,?,820392
"LeBron James",?,?,820260
"Golshifteh Farahani",?,?,817807
"Final Fantasy XVI",?,?,815512
"Manifest (TV series)",?,?,812212
"2023–24 UEFA Champions League",?,?,808874
"The Eras Tour",?,?,808682
"Guy Ritchie's The Covenant",?,?,806709
"Indiana Jones",?,?,803906
"Fukushima nuclear disaster",?,?,792494
"Robert F. Kennedy",?,?,787038
"George III",?,?,784861
"Spider-Man 2099",?,?,780255
"Tom Cruise",?,?,779262
"Jude Bellingham",?,?,776060
"Carlos Alcaraz",?,?,774907
"XNXX",?,?,774605
"XXX (2002 film)",?,?,773410
"Keanu Reeves",?,?,769868
"Iga Świątek",?,?,765754
"Vladimir Putin",?,?,762565
"Tom Holland",?,?,760322
"Russia",?,?,757677
"Paul-Henri Nargeolet",?,?,755814
"Danny Masterson",?,?,750646
"Rickie Fowler",?,?,750478
"Zendaya",?,?,749774
"Om Raut",?,?,741559
"United Kingdom",?,?,740524
"List of Marvel Cinematic Universe films",?,?,730846
"Clint Eastwood",?,?,729198
"List of inventors killed by their own invention",?,?,722780
"Elizabeth II",?,?,720655
"Bill Gothard",?,?,715662
"The Weeknd",?,?,715333
"Ryan Mallett",?,?,711382
"Michael Jackson",?,?,709295
"Pat Robertson",?,?,708693
"Ange Postecoglou",?,?,706619
"2023 Odisha train collision",?,?,701539
"Challenger Deep",?,?,699792
"The Kerala Story",?,?,697321
"Artificial intelligence",?,?,696242
"Coral Castle",?,?,695862
"Australia",?,?,695235
"Mount Takahe",?,?,694350
"Leonardo DiCaprio",?,?,691753
"List of NBA champions",?,?,691320
"World War II",?,?,688010
"John F. Kennedy",?,?,683316
"Madonna",?,?,681914
"Hailee Steinfeld",?,?,680494
"Marilyn Monroe",?,?,679254
"The Pirate Bay",?,?,677256
"Charles III",?,?,675379
"List of highest-grossing films",?,?,674532
"Neatsville, Kentucky",?,?,670146
"The Ashes",?,?,663094
"Cat Stevens",?,?,662419
"Chris Pratt",?,?,661407
"Charlotte of Mecklenburg-Strelitz",?,?,660702
"Queen Victoria",?,?,658246
"Adolf Hitler",?,?,654943
"Axl Rose",?,?,652895
"Glenda Jackson",?,?,651384
"Jamal Murray",?,?,650066
"Cormac McCarthy",?,?,647371
"Kanye West",?,?,647283
"Alan Arkin",?,?,647173
"Canada",?,?,647162
"Japan",?,?,646305
"Kylian Mbappé",?,?,646051
"Kourtney Kardashian",?,?,646024
"Kate Mara",?,?,645819
"Kandahar (2023 film)",?,?,645331
"The Iron Sheik",?,?,639560
"Barbie (film)",?,?,639446
"Phillip Schofield",?,?,638807
"Gary Plauché",?,?,636887
"Johnny Depp",?,?,635803
"Null",?,?,635556
"Guns N' Roses",?,?,635511
"Russo-Ukrainian War",?,?,635069
"The Crowded Room",?,?,633841
"Evil Dead Rise",?,?,631377
"Wagner Group mutiny",?,?,630820
"Lewis Hamilton",?,?,630546
"China",?,?,629867
"Richard Montañez",?,?,629336
"Forbidden Door (2023)",?,?,628682
"Barack Obama",?,?,628260
"Katherine Schwarzenegger",?,?,627944
"Denver Nuggets",?,?,627772
"OpenAI",?,?,627102
"Hannah Waddingham",?,?,626961
"Premier League",?,?,623061
"Slash (musician)",?,?,622272
"Salma Hayek",?,?,621653
"Dwayne Johnson",?,?,620495
"Sasha Calle",?,?,617785
"Manchester United F.C.",?,?,617001
"List of Hindi films of 2023",?,?,614852
"Wes Anderson",?,?,613345
"Conor McGregor",?,?,612063
"RuPaul's Drag Race All Stars (season 8)",?,?,611569
"XXX: State of the Union",?,?,609390
"Cat",?,?,607482
"New York City",?,?,604785
"Bruce Willis",?,?,603865
"Halle Bailey",?,?,601546
"2024 United States presidential election",?,?,598460
"Elvis Presley",?,?,596058
"Real Madrid CF",?,?,591056
"George Michael",?,?,589941
"Avatar (2009 film)",?,?,588038
"UEFA Euro 2024 qualifying",?,?,584181
"2023 French Open",?,?,584078
"Casper Ruud",?,?,583927
"YouTube Music",?,?,583710
"Silo (series)",?,?,583259
"Creed III",?,?,582526
"OceanGate, Inc.",?,?,582186
"Chelsea F.C.",?,?,582152
"Debbie Harry",?,?,580436
"Virat Kohli",?,?,579808
"Raindrop cake",?,?,577192
"Jason Sudeikis",?,?,576820
"Jimmy Butler",?,?,575482
"BBC World Service",?,?,574717
"Internet",?,?,574108
"Robert De Niro",?,?,573335
"Ron DeSantis",?,?,572431
"Vin Diesel",?,?,572288
"Shaquille O'Neal",?,?,571380
"UFC 289",?,?,568697
"Rory McIlroy",?,?,567553
"Eminem",?,?,566123
"Kaley Cuoco",?,?,564994
"Scarlett Johansson",?,?,564836
"Margot Robbie",?,?,563974
"Narendra Modi",?,?,563637
"Vanessa Paradis",?,?,562840
"Mission: Impossible (film series)",?,?,560164
"The Witcher (TV series)",?,?,559443
"Jason Momoa",?,?,559336
"Colleen Ballinger",?,?,559002
"Bijou Phillips",?,?,558801
"World War I",?,?,558076
"David Beckham",?,?,557372
"Miles Morales",?,?,556606
"2023 UEFA Champions League final",?,?,556323
"Asur (web series)",?,?,555478
"Beyoncé",?,?,553232
"Tupac Shakur",?,?,553058
"2023 Asia Cup",?,?,552909
"Kate Winslet",?,?,551768
"Ryan Reynolds",?,?,550545
"Joseph Baena",?,?,550081
"Kai Havertz",?,?,548561
"Implosion (mechanical process)",?,?,547700
"Inter Milan",?,?,547509
"YouTube Premium",?,?,546920
"YouTube Kids",?,?,545886
"Travis Barker",?,?,545747
"Rafael Nadal",?,?,545256
"Freddie Mercury",?,?,544134
"Wikimedia Foundation",?,?,540749
"Malaysia Airlines Flight 370",?,?,540586
"List of Grand Slam men's singles champions",?,?,539474
"Cheryl Hines",?,?,538740
"Singapore",?,?,537851
"OnlyFans",?,?,537209
"Sisu (film)",?,?,536280
"Jenna Ortega",?,?,534423
"Bloody Daddy",?,?,533600
"Jared Fogle",?,?,533242
"Kursk submarine disaster",?,?,533217
"Antilia (building)",?,?,532705
"List of European Cup and UEFA Champions League finals",?,?,532344
"Bayes' theorem",?,?,532156
"UEFA Nations League",?,?,530992
"Chris Paul",?,?,530635
"Declan Rice",?,?,530451
"DSV Limiting Factor",?,?,529974
"Reddit",?,?,529358
"Algebraic notation (chess)",?,?,526506
"Jeremy Renner",?,?,526098
"Tom Hanks",?,?,525885
"Kraven the Hunter",?,?,525361
"Ryan Gosling",?,?,523931
"USS Thresher (SSN-593)",?,?,523252
"Robert Hanssen",?,?,521274
"Henry Cavill",?,?,521021
"Kraven the Hunter (film)",?,?,519751
"G",?,?,518375
"Megan Fox",?,?,515769
"Neymar",?,?,512836
"List of states and territories of the United States",?,?,511776
"2023 FIFA U-20 World Cup",?,?,510354
"Josh Duggar",?,?,509908
"FUBAR (TV series)",?,?,507381
"Vegas Golden Knights",?,?,506543
"Suits index",?,?,506495
"Kobe Bryant",?,?,504743
"2023 French Open – Men's singles",?,?,504247
"Rebecca Ferguson",?,?,504239
"Tamannaah Bhatia",?,?,503688
"Harry Styles",?,?,502594
"Ukraine",?,?,501286
"Jeffrey Dahmer",?,?,500623
"Ana de Armas",?,?,499872
"BTS",?,?,499734
"Challengers (film)",?,?,499088
"Lana Del Rey",?,?,498872
"Turkey",?,?,497012
"Pakistan",?,?,496735
"Kate Beckinsale",?,?,495908
"2018 (film)",?,?,495321
"David Corenswet",?,?,495246
"Ice Spice",?,?,494718
"Microsoft Windows",?,?,494489
"Lavanya Tripathi",?,?,494436
"Hunter Biden",?,?,493868
"Pete Davidson",?,?,493401
"MS Dhoni",?,?,491931
"Prabhas",?,?,491680
"Germany",?,?,491482
"Priyanka Chopra",?,?,490387
"2023 CONCACAF Gold Cup",?,?,488821
"Meta Platforms",?,?,488574
"Nicolas Cage",?,?,487657
"Jelly Roll (singer)",?,?,487605
"Dave Grohl",?,?,485753
"Google Maps",?,?,482142
"Albert Einstein",?,?,481105
"Seven deadly sins",?,?,480386
"2023 Formula One World Championship",?,?,479566
"Email",?,?,479334
"Whitney Houston",?,?,478394
"Brad Pitt",?,?,477764
"Paul Walker",?,?,477188
"Alexis Mac Allister",?,?,474323
"Raiders of the Lost Ark",?,?,474073
"Stan Kroenke",?,?,472327
"Jack Grealish",?,?,471978
"Celine Dion",?,?,470856
"Marvel Cinematic Universe",?,?,470743
"Billy Crudup",?,?,470411
"Spider-Man",?,?,470410
"The Pope's Exorcist",?,?,470289
"Jamie Foxx",?,?,469449
"Netflix",?,?,468742
"Alex Turner",?,?,468708
"JSON-LD",?,?,468627
"Angelina Jolie",?,?,468095
"Jason Statham",?,?,468038
"Beyond the Sea (Black Mirror)",?,?,466047
"HMHS Britannic",?,?,464628
"Harry Kane",?,?,464465
"Vivek Ramaswamy",?,?,464034
"Paul McCartney",?,?,463997
"Pat Sajak",?,?,463299
"FC Barcelona",?,?,463239
"Sydney Sweeney",?,?,462496
"Taj Mahal",?,?,461247
"2023–24 UEFA Europa Conference League",?,?,460505
"Timothée Chalamet",?,?,459934
"Amanda Nunes",?,?,459907
"Steven Spielberg",?,?,459193
"Michael J. Fox",?,?,458863
"Dua Lipa",?,?,458684
"Ben Affleck",?,?,458556
"Prince (musician)",?,?,458541
"Jack Smith (lawyer)",?,?,458511
"Robin Williams",?,?,457508
"MrBeast",?,?,456772
"Vijay Varma",?,?,456174
"2023",?,?,456158
"Yellowstone (American TV series)",?,?,456041
"Vanna White",?,?,455905
"Ant-Man and the Wasp: Quantumania",?,?,455731
"123Movies",?,?,455309
"Demon Slayer: Kimetsu no Yaiba",?,?,453811
"Abdullah II of Jordan",?,?,453221
"Aaron Gordon",?,?,453133
"List of countries by GDP (nominal)",?,?,452931
"Character.ai",?,?,452597
"Cascatelli",?,?,452280
"Interstellar (film)",?,?,452130
"Saudi Arabia",?,?,451844
"Elizabeth Holmes",?,?,450910
"Wiki",?,?,449383
"Jeremy Allen White",?,?,449281
"Kim Kardashian",?,?,449074
"Matty Healy",?,?,447524
"Kevin Costner",?,?,446975
"Annie Murphy",?,?,446927
"Jennifer Lopez",?,?,446368
"Mason Mount",?,?,445667
"France",?,?,444489
"Naomi Watts",?,?,444357
"Monica Barbaro",?,?,443882
"Hussain Dawood",?,?,443256
"Candy Montgomery",?,?,443247
"Generation Z",?,?,442017
"A",?,?,438164
"Karolína Muchová",?,?,437493
"English language",?,?,436487
"Liverpool F.C.",?,?,436391
"Christopher Nolan",?,?,435888
"Soviet Union",?,?,435870
"Roger Federer",?,?,435427
"Rachel Brosnahan",?,?,435359
"Dharmendra",?,?,435236
"Christian Braun (basketball)",?,?,434838
"India national cricket team",?,?,434514
"Spot (comics)",?,?,432718
"Steve Jobs",?,?,432350
"Arctic Monkeys",?,?,432288
"2023 Ashes series",?,?,431680
"Philippines",?,?,431670
"Patrick Schwarzenegger",?,?,431262
"Catherine the Great",?,?,430747
"Indian Premier League",?,?,429979
"Calista Flockhart",?,?,429406
"Ponniyin Selvan: II",?,?,429132
"Romelu Lukaku",?,?,427685
"Mission: Impossible – Dead Reckoning Part One",?,?,427614
"Jimmy Carter",?,?,427375
"Franklin D. Roosevelt",?,?,426883
"Indonesia",?,?,426466
"Foo Fighters",?,?,425577
"Jason Schwartzman",?,?,425375
"Kieran Culkin",?,?,425221
"24 Hours of Le Mans",?,?,424317
"Roman Reigns",?,?,424085
"Bangladesh",?,?,423967
"Vijay (actor)",?,?,423897
"2022 FIFA World Cup",?,?,423005
"Jason Bateman",?,?,422880
"Pathaan (film)",?,?,422473
"Argentina national football team",?,?,421865
"Pedro Pascal",?,?,421793
"Dungeons & Dragons: Honor Among Thieves",?,?,421167
"Mahatma Gandhi",?,?,420865
"2023 Canadian wildfires",?,?,420185
"X (2022 film)",?,?,419601
"Robert Downey Jr.",?,?,418250
"Muhammad Ali",?,?,417785
"2023 FIVB Volleyball Women's Nations League",?,?,416439
"Harry Potter (film series)",?,?,415909
"Trieste (bathyscaphe)",?,?,415669
"West Ham United F.C.",?,?,414994
"Meghan, Duchess of Sussex",?,?,414956
"Yandex",?,?,414902
"Vande Bharat Express",?,?,414162
"Cillian Murphy",?,?,413782
